,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
324,DNMR,1,0.5,0.5,0.0,-0.459
325,DISCA,1,0.0,1.0,0.0,0.0
326,ARVL,1,0.375,0.625,0.0,-0.459
327,VTVT,1,0.0,1.0,0.0,0.0
328,LOVE,1,0.0,0.192,0.808,0.637
329,ANY,1,0.131,0.686,0.183,0.226
330,BITF,1,0.131,0.686,0.183,0.226
331,NCTY,1,0.131,0.686,0.183,0.226
332,HUT,1,0.131,0.686,0.183,0.226
333,APR,1,0.0,0.887,0.113,0.511
334,HTBX,1,0.0,1.0,0.0,0.0
335,KTTA,1,0.132,0.692,0.176,0.176
336,ABCL,1,0.0,1.0,0.0,0.0
337,OUST,1,0.0,1.0,0.0,0.0
338,DS,1,0.184,0.816,0.0,-0.707
339,MTN,1,0.0,1.0,0.0,0.0
340,POST,1,0.338,0.662,0.0,-0.625
341,TH,1,0.338,0.662,0.0,-0.625
342,SPRO,1,0.0,0.625,0.375,0.202
343,ESS,1,0.807,0.193,0.0,-0.636
344,TY,1,0.0,1.0,0.0,0.0
345,SAVE,1,0.0,0.484,0.516,0.494
346,PHUNW,1,0.0,0.86,0.14,0.447
347,PHUN,1,0.0,0.86,0.14,0.447
348,NGL,1,0.0,1.0,0.0,0.0
349,NNDM,1,0.312,0.688,0.0,-0.718
350,FLWS,1,0.151,0.732,0.117,-0.178
351,FREE,1,0.0,0.313,0.687,0.963
352,TCS,1,0.0,0.692,0.308,0.459
353,BEEM,1,0.0,1.0,0.0,0.0
354,ABB,1,0.0,1.0,0.0,0.0
355,UL,1,0.0,0.385,0.615,0.153
356,AKA,1,0.0,1.0,0.0,0.0
357,EMO,1,0.534,0.466,0.0,-0.556
358,BBAI,1,0.0,1.0,0.0,0.0
359,LD,1,0.0,0.167,0.833,0.718
360,KSCP,1,0.0,0.745,0.255,0.34
361,HE,1,0.0,1.0,0.0,0.0
362,BODY,1,0.0,1.0,0.0,0.0
363,BOIL,1,0.0,0.619,0.381,0.79
364,PL,1,0.0,1.0,0.0,0.0
365,BOOT,1,0.0,1.0,0.0,0.0
366,RIVN,1,0.0,1.0,0.0,0.0
367,TM,1,0.0,1.0,0.0,0.0
368,ASA,1,0.0,1.0,0.0,0.0
369,GOOGL,1,0.347,0.417,0.236,-0.382
370,UNFI,1,0.443,0.557,0.0,-0.748
371,AIR,1,0.0,0.42,0.58,0.784
372,EPD,1,0.137,0.504,0.36,0.625
373,SSR,1,0.0,1.0,0.0,0.0
374,RMO,1,0.0,1.0,0.0,0.0
375,ROKU,1,0.0,1.0,0.0,0.0
376,UVXY,1,0.37,0.435,0.196,-0.34
377,TLSS,1,0.0,1.0,0.0,0.0
378,CHGG,1,0.296,0.704,0.0,-0.273
379,ESGC,1,0.0,0.865,0.135,0.691
380,GB,1,0.0,1.0,0.0,0.0
381,OPEN,1,0.0,1.0,0.0,0.0
382,PATH,1,0.0,1.0,0.0,0.0
383,TMC,1,0.135,0.519,0.346,0.727
384,WHEN,1,0.263,0.737,0.0,-0.718
385,IO,1,0.0,0.411,0.589,0.774
386,GOEV,1,0.184,0.816,0.0,-0.402
387,DENN,1,0.0,0.508,0.492,0.893
388,SQ,1,0.0,0.531,0.469,0.909
389,MDT,1,0.0,1.0,0.0,0.0
390,TOL,1,0.0,0.615,0.385,0.361
391,CRDO,1,0.0,0.8,0.2,0.361
392,ZG,1,0.062,0.46,0.478,0.959
393,EFT,1,0.0,1.0,0.0,0.0
394,VIAC,1,0.0,0.8,0.2,0.361
395,BILI,1,0.556,0.444,0.0,-0.361
396,HIMX,1,0.0,0.667,0.333,0.613
397,LUV,1,0.0,0.775,0.225,0.944
398,UAL,1,0.0,0.775,0.225,0.944
399,HGEN,1,0.295,0.545,0.159,-0.459
400,GTEH,1,0.399,0.601,0.0,-0.248
401,CCAC,1,0.0,1.0,0.0,0.0
402,LMAO,1,0.0,0.519,0.481,0.684
403,CRDF,1,0.0,1.0,0.0,0.0
404,WOW,1,0.144,0.197,0.658,0.833
405,AIKI,1,0.057,0.437,0.505,0.961
406,KOPN,1,0.0,1.0,0.0,0.0
407,WYNN,1,0.0,1.0,0.0,0.0
408,CAT,1,0.067,0.503,0.43,0.818
409,NEGG,1,0.077,0.923,0.0,-0.128
410,MBRX,1,0.0,1.0,0.0,0.0
411,OWL,1,0.0,1.0,0.0,0.0
412,IRL,1,0.0,1.0,0.0,0.0
413,OTLY,1,0.499,0.501,0.0,-0.61
414,RELY,1,0.0,0.676,0.324,0.34
415,ADXS,1,0.0,1.0,0.0,0.0
416,PEP,1,0.312,0.375,0.312,0.0
417,SAM,1,0.312,0.375,0.312,0.0
418,FORD,1,0.0,1.0,0.0,0.0
419,VGFC,1,0.0,1.0,0.0,0.0
420,ATHX,1,0.0,1.0,0.0,0.0
421,TDOC,1,0.506,0.494,0.0,-0.848
422,BOTH,1,0.115,0.714,0.172,0.533
423,IP,1,0.176,0.71,0.114,-0.4
424,SLAB,1,0.714,0.286,0.0,-0.718
425,MU,1,0.0,1.0,0.0,0.0
426,DNUT,1,0.0,1.0,0.0,0.0
427,ONDS,1,0.0,0.783,0.217,0.361
428,BAL,1,0.0,0.532,0.468,0.8
429,QSI,1,0.0,1.0,0.0,0.0
430,JOUT,1,0.0,0.545,0.455,0.612
431,AMWL,1,0.0,0.824,0.176,0.459
432,BFLY,1,0.0,0.824,0.176,0.459
433,MMND,1,0.0,0.824,0.176,0.459
434,MASS,1,0.118,0.588,0.294,0.67
435,USER,1,0.118,0.588,0.294,0.67
436,LIFE,1,0.0,0.823,0.177,0.713
437,CARE,1,0.0,0.37,0.63,0.899
438,LOAN,1,0.0,0.37,0.63,0.899
439,KHC,1,0.0,1.0,0.0,0.0
440,EBET,1,0.0,1.0,0.0,0.0
441,RKT,1,0.0,0.809,0.191,0.796
442,SRPT,1,0.0,1.0,0.0,0.0
443,TX,1,0.0,0.757,0.243,0.546
444,DIS,1,0.556,0.444,0.0,-0.718
445,HON,1,0.556,0.444,0.0,-0.718
446,LMND,1,0.0,1.0,0.0,0.0
447,FORM,1,0.0,0.792,0.208,0.718
448,CRM,1,0.25,0.5,0.25,0.0
449,SAP,1,0.25,0.5,0.25,0.0
450,MYO,1,0.0,0.401,0.599,0.887
451,III,1,0.0,1.0,0.0,0.0
452,IFRX,1,0.0,1.0,0.0,0.0
453,BW,1,0.0,0.613,0.387,0.743
454,MTTR,1,0.0,0.775,0.225,0.493
455,OIL,1,0.206,0.318,0.476,0.641
456,LEN,1,0.0,0.2,0.8,0.612
