,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
219,EH,2,0.0,1.0,0.0,0.0
220,VFF,2,0.137,0.726,0.137,0.0
221,GOEV,2,0.0,0.841,0.159,0.224
222,NEXT,2,0.0,0.725,0.275,0.572
223,EXPE,2,0.166,0.577,0.257,0.309
224,CHW,1,0.0,0.922,0.078,0.318
225,SFT,1,0.272,0.728,0.0,-0.748
226,AKA,1,0.047,0.719,0.233,0.891
227,BJ,1,0.0,1.0,0.0,0.0
228,GEVO,1,0.0,1.0,0.0,0.0
229,HIVE,1,0.0,1.0,0.0,0.0
230,IONS,1,0.0,1.0,0.0,0.0
231,GER,1,0.211,0.507,0.282,0.21
232,XL,1,0.0,0.857,0.143,0.128
233,OGE,1,0.0,0.5,0.5,0.459
234,DARE,1,0.0,0.773,0.227,0.844
235,GP,1,0.112,0.888,0.0,-0.226
236,ROSE,1,0.0,1.0,0.0,0.0
237,TVAC,1,0.0,1.0,0.0,0.0
238,BOAS,1,0.0,1.0,0.0,0.0
239,NU,1,0.0,0.945,0.055,0.026
240,HCP,1,0.0,1.0,0.0,0.0
241,DCGO,1,0.286,0.714,0.0,-0.421
242,EBS,1,0.11,0.735,0.154,0.153
243,NGS,1,0.0,1.0,0.0,0.0
244,VERY,1,0.0,0.597,0.403,0.829
245,TEAM,1,0.023,0.905,0.073,0.405
246,PM,1,0.023,0.905,0.073,0.405
247,HIMX,1,0.0,1.0,0.0,0.0
248,ADMQ,1,0.0,1.0,0.0,0.0
249,DAC,1,0.0,1.0,0.0,0.0
250,DCF,1,0.0,0.8,0.2,0.612
251,ZNGA,1,0.0,0.202,0.798,0.836
252,SR,1,0.136,0.556,0.309,0.586
253,FNA,1,0.0,1.0,0.0,0.0
254,DIAM,1,0.0,0.338,0.662,0.783
255,FORD,1,0.0,0.506,0.494,0.599
256,CNK,1,0.157,0.843,0.0,-0.421
257,GF,1,0.0,0.79,0.21,0.764
258,MU,1,0.052,0.863,0.085,0.333
259,FTCH,1,0.0,1.0,0.0,0.0
260,BKE,1,0.0,1.0,0.0,0.0
261,AIRC,1,0.0,1.0,0.0,0.0
262,AEI,1,0.0,1.0,0.0,0.0
263,IRBT,1,0.0,0.717,0.283,0.743
264,METX,1,0.0,1.0,0.0,0.0
265,TAL,1,0.0,0.719,0.281,0.41
266,IMPX,1,0.0,0.156,0.844,0.659
267,GET,1,0.0,0.58,0.42,0.44
268,CP,1,0.0,0.667,0.333,0.818
269,RC,1,0.0,0.824,0.176,0.572
270,BSFC,1,0.0,0.446,0.554,0.735
271,GAMB,1,0.0,1.0,0.0,0.0
272,PDT,1,0.0,1.0,0.0,0.0
273,RESN,1,0.141,0.418,0.442,0.949
274,ALPP,1,0.0,1.0,0.0,0.0
275,LAZR,1,0.0,0.455,0.545,0.802
276,BODY,1,0.0,1.0,0.0,0.0
277,AR,1,0.0,0.769,0.231,0.912
278,GTLL,1,0.0,1.0,0.0,0.0
279,AFOM,1,0.0,0.612,0.388,0.586
280,NET,1,0.062,0.554,0.385,0.91
281,MAN,1,0.201,0.799,0.0,-0.7
282,VRTX,1,0.0,1.0,0.0,0.0
283,AG,1,0.0,0.927,0.073,0.459
284,SRAD,1,0.0,0.927,0.073,0.459
285,HRTX,1,0.0,0.667,0.333,0.361
286,EVER,1,0.0,0.643,0.357,0.796
287,BY,1,0.0,0.643,0.357,0.796
288,CARE,1,0.0,0.587,0.413,0.64
289,MELI,1,0.116,0.612,0.272,0.511
290,ATVI,1,0.116,0.612,0.272,0.511
291,LAWS,1,0.0,0.844,0.156,0.718
292,HMBL,1,0.268,0.432,0.301,0.099
293,VC,1,0.0,1.0,0.0,0.0
294,SRNE,1,0.0,0.829,0.171,0.509
295,JOAN,1,0.0,1.0,0.0,0.0
296,BULL,1,0.219,0.505,0.276,0.256
297,BOOM,1,0.0,1.0,0.0,0.0
298,CAN,1,0.0,1.0,0.0,0.0
299,ATER,1,0.0,0.791,0.209,0.44
300,RICH,1,0.0,0.188,0.812,0.652
301,LINK,1,0.0,0.816,0.184,0.402
302,DAO,1,0.0,0.299,0.701,0.856
303,TOP,1,0.214,0.665,0.122,-0.743
304,EA,1,0.5,0.5,0.0,-0.459
305,HEP,1,0.0,1.0,0.0,0.0
306,BIT,1,0.0,1.0,0.0,0.0
307,ASX,1,0.0,1.0,0.0,0.0
308,NNDM,1,0.0,0.737,0.263,0.361
309,DE,1,0.0,1.0,0.0,0.0
310,ASML,1,0.0,0.828,0.172,0.317
311,HLTH,1,0.094,0.519,0.387,0.802
312,BMBL,1,0.0,1.0,0.0,0.0
313,SOFI,1,0.166,0.834,0.0,-0.453
314,RIOT,1,0.0,1.0,0.0,0.0
315,PX,1,0.0,0.53,0.47,0.796
316,XM,1,0.158,0.676,0.167,0.052
317,IP,1,0.145,0.855,0.0,-0.47
318,OBSV,1,0.0,1.0,0.0,0.0
319,YI,1,0.0,1.0,0.0,0.0
320,GT,1,0.091,0.909,0.0,-0.25
321,PLAY,1,0.0,0.615,0.385,0.482
322,EAR,1,0.0,1.0,0.0,0.0
323,GLBS,1,0.0,1.0,0.0,0.0
324,GRTX,1,0.0,1.0,0.0,0.0
325,RAM,1,0.0,0.904,0.096,0.433
326,BOXL,1,0.0,1.0,0.0,0.0
327,FUV,1,0.0,1.0,0.0,0.0
328,VLCN,1,0.306,0.694,0.0,-0.296
329,BLZE,1,0.0,1.0,0.0,0.0
330,ROIVW,1,0.123,0.877,0.0,-0.599
331,ROIV,1,0.123,0.877,0.0,-0.599
332,SV,1,0.0,1.0,0.0,0.0
333,NMM,1,0.0,0.511,0.489,0.774
334,AP,1,0.0,0.822,0.178,0.382
335,BWAC,1,0.0,1.0,0.0,0.0
336,APPH,1,0.375,0.625,0.0,-0.459
337,SEV,1,0.0,0.702,0.298,0.768
338,ATAI,1,0.192,0.662,0.146,-0.178
339,CLF,1,0.0,0.795,0.205,0.52
340,CAT,1,0.0,1.0,0.0,0.0
341,JSDA,1,0.0,1.0,0.0,0.0
342,ALLY,1,0.147,0.656,0.197,0.387
343,MSCI,1,0.068,0.932,0.0,-0.361
344,CYXT,1,0.0,0.848,0.152,0.361
345,TGLS,1,0.0,1.0,0.0,0.0
