,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
0,GME,281,0.058,0.78,0.162,0.175
1,TSLA,71,0.092,0.761,0.147,0.08
2,AMC,58,0.078,0.817,0.105,0.1
3,DD,54,0.092,0.813,0.094,0.018
4,SPY,41,0.103,0.775,0.122,0.089
5,TLRY,23,0.077,0.749,0.174,0.169
6,BABA,21,0.029,0.842,0.13,0.168
7,HOOD,19,0.04,0.822,0.139,0.071
8,BYND,19,0.197,0.719,0.085,0.004
9,NG,18,0.144,0.707,0.148,0.018
10,FOR,18,0.06,0.689,0.251,0.218
11,ALL,17,0.031,0.67,0.299,0.429
12,IS,17,0.128,0.748,0.125,0.133
13,ON,17,0.05,0.868,0.082,0.051
14,DRS,17,0.023,0.782,0.195,0.43
15,AAPL,16,0.019,0.671,0.31,0.502
16,WISH,15,0.074,0.683,0.243,0.279
17,NVDA,13,0.017,0.788,0.196,0.198
18,LFG,13,0.021,0.752,0.227,0.231
19,SENS,13,0.026,0.822,0.152,0.199
20,SAVA,12,0.0,0.907,0.093,0.137
21,NIO,12,0.037,0.804,0.158,0.262
22,GO,12,0.0,0.903,0.096,0.17
23,HLGN,12,0.0,0.9,0.1,0.247
24,IT,11,0.144,0.738,0.119,0.088
25,BB,11,0.004,0.789,0.207,0.322
26,DWAC,11,0.0,0.78,0.22,0.235
27,PLTR,11,0.013,0.821,0.166,0.369
28,WE,11,0.014,0.801,0.184,0.41
29,AMD,9,0.128,0.798,0.075,-0.081
30,RH,9,0.107,0.693,0.2,0.203
31,AMZN,9,0.071,0.739,0.19,0.269
32,VIAC,8,0.041,0.739,0.22,0.296
33,OP,8,0.039,0.938,0.023,-0.053
34,SNDL,8,0.0,0.787,0.213,0.274
35,TA,7,0.039,0.89,0.071,0.1
36,NEXT,7,0.079,0.64,0.28,0.3
37,QQQ,7,0.073,0.714,0.213,0.403
38,ME,7,0.021,0.738,0.242,0.44
39,UK,7,0.064,0.77,0.166,0.282
40,YOU,7,0.158,0.662,0.18,0.005
41,AFRM,7,0.118,0.799,0.083,-0.155
42,MVIS,7,0.137,0.668,0.195,0.119
43,USA,7,0.084,0.894,0.022,-0.212
44,SOLO,6,0.116,0.842,0.042,-0.266
45,CLOV,6,0.043,0.907,0.05,0.082
46,ING,6,0.033,0.893,0.075,0.064
47,NEW,6,0.036,0.908,0.056,-0.011
48,LCID,6,0.282,0.518,0.201,-0.124
49,HIMX,6,0.091,0.739,0.17,0.101
50,MTTR,6,0.0,0.829,0.171,0.281
51,AM,6,0.101,0.755,0.143,0.165
52,HAS,6,0.054,0.859,0.087,0.087
53,BBBY,6,0.0,0.987,0.012,0.06
54,ES,5,0.13,0.806,0.064,-0.115
55,MSFT,5,0.03,0.826,0.145,0.204
56,CRTX,5,0.057,0.895,0.048,-0.026
57,DIDI,5,0.058,0.654,0.288,0.449
58,RY,5,0.068,0.684,0.248,0.206
59,DKNG,5,0.0,0.685,0.315,0.268
60,AN,5,0.064,0.825,0.111,0.252
61,GNUS,5,0.027,0.936,0.036,-0.06
62,OG,5,0.0,0.796,0.204,0.415
63,ARQQ,5,0.035,0.66,0.305,0.361
64,RIVN,5,0.244,0.739,0.018,-0.409
65,NOW,5,0.143,0.598,0.259,0.337
66,GM,5,0.018,0.782,0.2,0.516
67,NYC,5,0.12,0.785,0.095,0.076
68,DE,5,0.117,0.765,0.118,-0.117
69,WB,5,0.063,0.73,0.207,0.401
70,BIRD,5,0.157,0.825,0.019,-0.255
71,ARE,5,0.009,0.707,0.284,0.598
72,DOGZ,5,0.037,0.867,0.096,0.219
73,JAN,4,0.151,0.834,0.016,-0.147
74,ARK,4,0.104,0.782,0.114,0.013
75,CCL,4,0.075,0.884,0.041,0.056
76,BE,4,0.013,0.808,0.179,0.513
77,RCL,4,0.0,0.959,0.041,0.171
78,PT,4,0.0,0.866,0.134,0.234
79,TSM,4,0.161,0.615,0.224,0.092
80,UP,4,0.084,0.696,0.22,-0.033
81,NET,4,0.04,0.891,0.069,0.112
82,SOFI,4,0.0,0.757,0.243,0.24
83,LMND,4,0.134,0.685,0.18,0.1
84,ST,4,0.146,0.788,0.066,-0.186
85,PROG,4,0.0,0.928,0.071,0.159
86,BIG,4,0.236,0.662,0.102,-0.157
87,AAL,4,0.077,0.655,0.268,0.345
88,ASML,4,0.409,0.591,0.0,-0.255
89,ZOM,4,0.0,0.906,0.094,0.198
90,FB,4,0.0,0.919,0.081,0.261
91,FORD,4,0.0,0.619,0.381,0.491
92,RIOT,4,0.473,0.482,0.045,-0.595
93,SKLZ,4,0.287,0.713,0.0,-0.242
94,IMMX,4,0.256,0.686,0.058,-0.12
95,DAL,4,0.0,0.959,0.041,0.171
96,TV,4,0.222,0.733,0.045,-0.418
97,BYOC,4,0.119,0.733,0.147,-0.059
98,GET,4,0.052,0.781,0.167,0.347
99,RS,4,0.25,0.75,0.0,-0.34
100,MEME,4,0.031,0.877,0.092,0.182
101,EAR,4,0.111,0.75,0.139,0.088
102,RIO,4,0.107,0.804,0.089,-0.178
103,CRSR,4,0.151,0.56,0.289,0.458
104,CAN,4,0.157,0.687,0.156,0.271
105,GBOX,4,0.006,0.97,0.024,0.132
106,AG,3,0.0,0.682,0.318,0.444
107,GNPX,3,0.079,0.659,0.262,0.208
108,RKT,3,0.125,0.75,0.125,0.0
109,XXII,3,0.0,1.0,0.0,0.0
110,FREE,3,0.057,0.617,0.325,0.484
111,CASH,3,0.276,0.591,0.133,-0.13
112,MC,3,0.089,0.853,0.058,-0.146
113,MA,3,0.0,0.846,0.154,0.44
114,NVAX,3,0.0,0.615,0.385,0.545
115,DTE,3,0.202,0.743,0.055,-0.554
116,EL,3,0.095,0.727,0.177,-0.022
117,BAC,3,0.04,0.771,0.189,0.134
118,VERY,3,0.0,0.771,0.229,0.429
119,DISCK,3,0.0,0.646,0.354,0.581
120,CAT,3,0.0,0.957,0.043,0.067
121,DCF,3,0.0,0.842,0.158,0.134
122,DIS,3,0.032,0.671,0.298,0.347
123,BFRI,3,0.067,0.844,0.089,-0.032
124,ESSC,3,0.0,0.619,0.381,0.392
125,RUN,3,0.0,0.638,0.362,0.55
126,SQ,3,0.0,0.778,0.222,0.528
127,HE,3,0.108,0.823,0.069,-0.016
128,OUT,3,0.0,0.876,0.124,0.276
129,CC,3,0.084,0.846,0.07,-0.065
130,BULL,3,0.0,0.674,0.326,0.62
131,REAL,3,0.0,0.7,0.3,0.418
132,EDU,3,0.0,0.696,0.304,0.493
133,APPH,3,0.0,0.804,0.196,0.389
134,TF,3,0.0,0.805,0.195,0.497
135,PRED,3,0.0,1.0,0.0,0.0
136,IAG,3,0.0,1.0,0.0,0.0
137,MP,3,0.245,0.671,0.084,-0.115
138,PSA,3,0.038,0.962,0.0,-0.099
139,AR,3,0.0,1.0,0.0,0.0
140,ID,3,0.046,0.847,0.107,0.466
141,GAME,3,0.035,0.873,0.093,0.279
142,NKLA,3,0.097,0.727,0.176,0.0
143,SOPA,3,0.0,1.0,0.0,0.0
144,SAND,3,0.0,0.954,0.046,0.134
145,HIVE,3,0.0,0.695,0.305,0.349
146,IBM,3,0.0,0.556,0.444,0.7
147,LAZR,3,0.0,1.0,0.0,0.0
148,VC,3,0.0,0.923,0.077,0.197
149,QS,3,0.154,0.664,0.182,0.191
150,GOEV,3,0.0,0.931,0.069,0.091
151,RGS,3,0.0,1.0,0.0,0.0
152,TWTR,3,0.176,0.709,0.114,-0.402
153,SLP,3,0.089,0.6,0.31,0.338
154,RMO,3,0.0,1.0,0.0,0.0
155,TOP,3,0.0,0.899,0.101,0.382
156,ED,3,0.115,0.844,0.041,-0.232
157,PHUN,3,0.0,0.685,0.315,0.444
158,LOW,3,0.439,0.396,0.165,-0.6
159,LGVN,3,0.049,0.951,0.0,-0.137
160,TALK,3,0.075,0.792,0.133,-0.039
161,ATER,3,0.0,1.0,0.0,0.0
162,PLAY,3,0.0,0.945,0.055,0.161
163,FLOW,2,0.063,0.937,0.0,-0.255
164,HEPA,2,0.118,0.778,0.103,-0.107
165,ADBE,2,0.06,0.91,0.029,-0.113
166,HIMS,2,0.11,0.789,0.101,-0.116
167,PSFE,2,0.0,1.0,0.0,0.0
168,IEP,2,0.0,0.319,0.681,0.776
169,UBER,2,0.146,0.654,0.2,0.244
170,SPCE,2,0.243,0.756,0.0,-0.293
171,OSTK,2,0.0,0.714,0.286,0.612
172,BHG,2,0.037,0.829,0.134,0.338
173,GH,2,0.056,0.667,0.277,0.582
174,LEAP,2,0.0,0.484,0.516,0.623
175,AUVI,2,0.0,1.0,0.0,0.0
176,MRVI,2,0.0,0.661,0.339,0.137
177,GLD,2,0.416,0.209,0.375,-0.13
178,GRAMF,2,0.0,0.588,0.412,0.625
179,SOS,2,0.0,0.799,0.201,0.077
180,DAO,2,0.0,0.809,0.191,0.052
181,MMTLP,2,0.0,1.0,0.0,0.0
182,SI,2,0.0,1.0,0.0,0.0
183,ABNB,2,0.275,0.544,0.181,0.072
184,TTCF,2,0.0,0.647,0.353,0.17
185,SHOP,2,0.085,0.745,0.17,0.06
186,GS,2,0.0,0.666,0.334,0.306
187,EBAY,2,0.0,0.893,0.106,0.279
188,NS,2,0.085,0.846,0.069,-0.068
189,PINS,2,0.0,1.0,0.0,0.0
190,RBLX,2,0.344,0.656,0.0,-0.33
191,RIDE,2,0.0,0.914,0.086,0.286
192,NEGG,2,0.0,1.0,0.0,0.0
193,TIL,2,0.031,0.934,0.035,0.051
194,AI,2,0.0,0.908,0.091,0.26
195,ALLK,2,0.0,1.0,0.0,0.0
196,SRAD,2,0.541,0.291,0.167,-0.229
197,RIG,2,0.0,1.0,0.0,0.0
198,NE,2,0.0,0.486,0.514,0.742
199,AX,2,0.0,0.486,0.514,0.742
200,SIOX,2,0.0,1.0,0.0,0.0
201,LLNW,2,0.159,0.719,0.122,-0.136
202,PEI,2,0.0,0.911,0.088,0.387
203,RELI,2,0.107,0.893,0.0,-0.229
204,UAL,2,0.0,0.918,0.082,0.342
205,LUV,2,0.0,0.918,0.082,0.342
206,GE,2,0.0,0.873,0.128,0.469
207,DOMA,2,0.0,1.0,0.0,0.0
208,GRAB,2,0.0,1.0,0.0,0.0
209,INTC,2,0.0,0.695,0.305,0.345
210,EM,2,0.0,0.722,0.278,0.359
211,BKKT,2,0.0,1.0,0.0,0.0
212,LL,2,0.0,0.83,0.17,0.279
213,BODY,2,0.485,0.515,0.0,-0.572
214,ONE,2,0.029,0.662,0.308,0.152
215,IQ,2,0.1,0.766,0.135,0.089
216,WRAP,2,0.0,1.0,0.0,0.0
217,JWEL,2,0.057,0.887,0.057,0.0
218,IOT,2,0.0,1.0,0.0,0.0
219,MARA,2,0.472,0.315,0.214,-0.371
220,TXMD,2,0.0,1.0,0.0,0.0
221,WDFC,2,0.178,0.724,0.098,-0.096
222,NICH,2,0.0,0.939,0.061,0.137
223,ETSY,2,0.079,0.493,0.428,0.726
224,TD,2,0.0,0.7,0.3,0.229
225,BTNB,2,0.0,0.652,0.348,0.713
226,KKR,2,0.0,0.652,0.348,0.713
227,TPG,2,0.0,0.652,0.348,0.713
228,BY,2,0.0,0.866,0.134,0.46
