,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
0,TSLA,53,0.096,0.738,0.166,0.15
1,GME,50,0.066,0.78,0.154,0.138
2,SPY,40,0.065,0.67,0.266,0.275
3,AMC,39,0.078,0.792,0.13,0.147
4,DD,31,0.055,0.86,0.085,0.065
5,WISH,23,0.015,0.766,0.219,0.185
6,BFRI,20,0.089,0.816,0.095,-0.016
7,NIO,19,0.02,0.754,0.226,0.362
8,NVAX,17,0.02,0.851,0.129,0.149
9,IS,15,0.1,0.713,0.187,0.283
10,MU,13,0.038,0.765,0.196,0.167
11,SAVA,13,0.12,0.738,0.142,0.095
12,BB,12,0.065,0.838,0.097,0.017
13,BABA,12,0.0,0.837,0.163,0.284
14,NVDA,11,0.086,0.564,0.35,0.378
15,BIG,11,0.093,0.681,0.227,0.388
16,PFE,10,0.0,0.801,0.199,0.305
17,DTE,10,0.014,0.718,0.268,0.475
18,FREE,8,0.028,0.399,0.573,0.773
19,UK,8,0.082,0.881,0.037,-0.129
20,DM,8,0.0,0.876,0.124,0.256
21,EVTL,7,0.113,0.802,0.085,0.048
22,CG,7,0.031,0.837,0.132,0.339
23,CMC,7,0.015,0.882,0.103,0.236
24,TLRY,7,0.128,0.794,0.079,0.021
25,IRNT,7,0.256,0.715,0.029,-0.11
26,UP,7,0.068,0.786,0.146,0.013
27,NS,7,0.003,0.596,0.401,0.69
28,FOR,7,0.0,0.687,0.313,0.544
29,ON,7,0.127,0.613,0.26,0.372
30,LCID,7,0.0,0.853,0.147,0.343
31,YOU,7,0.255,0.547,0.197,-0.417
32,DE,7,0.0,0.68,0.32,0.553
33,ING,6,0.069,0.767,0.164,0.35
34,TD,6,0.026,0.886,0.087,0.215
35,AAPL,6,0.083,0.784,0.132,0.073
36,AI,6,0.0,0.696,0.304,0.565
37,NG,6,0.052,0.761,0.187,0.132
38,AVCT,6,0.045,0.714,0.242,0.186
39,CRSR,6,0.132,0.646,0.222,0.067
40,SNDL,6,0.013,0.565,0.421,0.545
41,IT,6,0.112,0.735,0.153,0.031
42,OG,6,0.021,0.668,0.31,0.194
43,MTCR,6,0.0,0.93,0.07,0.3
44,RH,6,0.059,0.786,0.155,0.225
45,ALLK,6,0.16,0.701,0.139,0.005
46,BEER,6,0.0,0.702,0.298,0.586
47,RKT,5,0.0,0.796,0.204,0.332
48,PLTR,5,0.051,0.949,0.0,-0.036
49,PHIL,5,0.056,0.668,0.276,0.812
50,GRTX,5,0.034,0.68,0.285,0.524
51,PTON,5,0.253,0.601,0.145,-0.122
52,CAN,5,0.232,0.567,0.201,-0.188
53,ED,5,0.067,0.766,0.167,0.112
54,DKNG,4,0.013,0.89,0.098,0.309
55,ITCI,4,0.0,0.834,0.166,0.358
56,GO,4,0.0,0.894,0.106,0.275
57,AAL,4,0.062,0.886,0.052,-0.105
58,PLBY,4,0.0,0.641,0.359,0.629
59,ARK,4,0.142,0.786,0.072,0.099
60,ST,4,0.098,0.828,0.075,-0.099
61,PL,4,0.0,0.766,0.234,0.412
62,ACB,4,0.0,0.704,0.295,0.752
63,VCRA,4,0.375,0.536,0.089,-0.485
64,NKLA,4,0.0,1.0,0.0,0.0
65,FB,4,0.083,0.739,0.178,0.254
66,AUPH,4,0.0,1.0,0.0,0.0
67,ALL,4,0.212,0.633,0.155,-0.238
68,VUZI,4,0.0,0.714,0.286,0.373
69,OVID,4,0.0,1.0,0.0,0.0
70,RE,4,0.0,1.0,0.0,0.0
71,MTTR,3,0.0,1.0,0.0,0.0
72,AX,3,0.167,0.833,0.0,-0.153
73,FL,3,0.0,0.867,0.133,0.318
74,TDOC,3,0.0,1.0,0.0,0.0
75,GET,3,0.0,0.698,0.302,0.66
76,NOW,3,0.0,0.661,0.339,0.456
77,TWLO,3,0.0,0.714,0.286,0.421
78,CCL,3,0.081,0.833,0.086,0.018
79,DRS,3,0.016,0.772,0.212,0.545
80,TA,3,0.0,0.899,0.101,0.129
81,MRNA,3,0.055,0.945,0.0,-0.242
82,ME,3,0.283,0.557,0.16,-0.466
83,BE,3,0.104,0.58,0.316,0.255
84,MRK,3,0.0,0.524,0.476,0.718
85,TMC,3,0.087,0.824,0.089,0.009
86,DIDI,3,0.165,0.424,0.411,0.457
87,VIAC,3,0.0,1.0,0.0,0.0
88,SOPA,3,0.211,0.578,0.211,0.0
89,DBGI,3,0.0,0.848,0.152,0.12
90,GS,3,0.0,0.814,0.186,0.617
91,AC,3,0.0,1.0,0.0,0.0
92,OR,3,0.0,0.776,0.224,0.333
93,ROKU,3,0.282,0.718,0.0,-0.197
94,TSM,3,0.0,0.65,0.35,0.539
95,THG,3,0.0,0.901,0.099,0.059
96,CS,2,0.083,0.704,0.212,0.186
97,JP,2,0.0,0.532,0.468,0.55
98,CANF,2,0.132,0.77,0.099,-0.137
99,GAIN,2,0.085,0.286,0.629,0.561
100,OUT,2,0.0,0.892,0.108,0.386
101,WE,2,0.0,0.839,0.161,0.444
102,AERC,2,0.1,0.785,0.115,0.039
103,MARK,2,0.0,1.0,0.0,0.0
104,VRNS,2,0.092,0.319,0.589,0.676
105,CLOV,2,0.0,1.0,0.0,0.0
106,SPR,2,0.098,0.845,0.057,-0.347
107,SOFI,2,0.0,0.764,0.235,0.395
108,RKLB,2,0.0,0.77,0.23,0.899
109,PM,2,0.0,1.0,0.0,0.0
110,OC,2,0.0,1.0,0.0,0.0
111,ISIG,2,0.0,1.0,0.0,0.0
112,UVXY,2,0.0,0.825,0.175,0.33
113,PSFE,2,0.302,0.698,0.0,-0.34
114,HAS,2,0.157,0.489,0.354,-0.19
115,COIN,2,0.0,0.766,0.234,0.371
116,SDC,2,0.051,0.758,0.191,0.279
117,CLF,2,0.0,1.0,0.0,0.0
118,DS,2,0.0,0.538,0.462,0.666
119,PTGX,2,0.0,0.706,0.294,0.59
120,VAL,2,0.0,0.706,0.294,0.59
121,BY,2,0.0,0.78,0.22,0.506
122,CF,2,0.0,1.0,0.0,0.0
123,ACST,2,0.0,0.862,0.138,0.363
124,LOW,2,0.277,0.508,0.215,-0.239
125,MOGO,2,0.0,1.0,0.0,0.0
126,TV,2,0.0,0.819,0.181,0.312
127,GAXY,2,0.0,0.635,0.366,0.579
128,RIVN,2,0.179,0.552,0.269,0.006
129,HE,2,0.0,1.0,0.0,0.0
130,AN,2,0.0,0.873,0.128,0.236
131,EVFM,2,0.264,0.736,0.0,-0.721
132,SFT,2,0.418,0.418,0.163,-0.242
133,CAT,2,0.0,1.0,0.0,0.0
134,METX,2,0.0,0.805,0.195,0.246
135,VERY,2,0.0,0.487,0.513,0.985
136,NEXT,2,0.0,0.703,0.297,0.668
137,JOB,2,0.072,0.927,0.0,-0.148
138,HIVE,2,0.0,1.0,0.0,0.0
139,PROG,2,0.086,0.842,0.072,-0.069
140,GE,2,0.303,0.573,0.124,0.075
141,ASAN,2,0.0,0.722,0.278,0.359
142,AM,2,0.053,0.654,0.292,0.921
143,XCUR,2,0.577,0.423,0.0,-0.625
144,EL,2,0.0,0.804,0.196,0.757
145,RICH,2,0.0,0.621,0.38,0.605
146,APTO,2,0.317,0.579,0.104,-0.908
147,ONE,2,0.317,0.579,0.104,-0.908
148,QNRX,2,0.0,1.0,0.0,0.0
149,XXII,2,0.167,0.59,0.243,-0.045
150,SKIN,2,0.325,0.561,0.114,-0.91
151,JD,2,0.0,0.893,0.107,0.446
152,HIMS,2,0.0,0.772,0.228,0.359
153,REE,2,0.25,0.75,0.0,-0.359
154,PYPL,2,0.0,0.785,0.215,0.428
155,DOCU,2,0.0,0.756,0.243,0.383
156,CD,2,0.503,0.497,0.0,-0.649
157,LFG,2,0.0,0.883,0.117,0.45
158,REAX,2,0.0,0.768,0.232,0.453
159,KLIC,2,0.122,0.877,0.0,-0.3
160,AIM,2,0.074,0.396,0.53,0.766
161,XL,2,0.0,0.438,0.562,0.827
162,OP,2,0.0,0.83,0.17,0.279
163,AMZN,2,0.088,0.768,0.143,0.273
164,DLTR,2,0.188,0.812,0.0,-0.459
