,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
130,LMND,2,0.0,0.896,0.104,0.406
131,FSR,2,0.389,0.611,0.0,-0.589
132,AP,2,0.0,1.0,0.0,0.0
133,COIN,2,0.12,0.879,0.0,-0.271
134,IMO,2,0.142,0.81,0.048,-0.069
135,WKHS,2,0.0,1.0,0.0,0.0
136,QS,2,0.0,1.0,0.0,0.0
137,ASTR,2,0.0,0.688,0.312,0.359
138,SOS,2,0.0,0.431,0.569,0.764
139,IMMX,2,0.18,0.7,0.12,-0.064
140,POWW,2,0.0,1.0,0.0,0.0
141,ATER,2,0.0,1.0,0.0,0.0
142,FUBO,2,0.0,0.686,0.314,0.622
143,MVIS,2,0.123,0.655,0.222,0.542
144,DTE,2,0.0,0.807,0.193,0.384
145,SBLK,2,0.0,0.725,0.275,0.428
146,FDX,2,0.0,1.0,0.0,0.0
147,XELA,2,0.0,0.761,0.239,0.335
148,SP,2,0.073,0.766,0.161,0.132
149,SNBH,2,0.0,0.565,0.435,0.398
150,NE,2,0.0,0.691,0.309,0.556
151,HT,2,0.407,0.453,0.14,-0.696
152,UA,2,0.0,1.0,0.0,0.0
153,PT,2,0.0,1.0,0.0,0.0
154,PLAY,2,0.0,0.441,0.559,0.861
155,DNMR,2,0.152,0.542,0.305,-0.115
156,MTEKW,2,0.0,1.0,0.0,0.0
157,GPRO,2,0.0,1.0,0.0,0.0
158,TY,2,0.097,0.81,0.094,-0.039
159,PEI,2,0.0,1.0,0.0,0.0
160,WTRH,2,0.0,1.0,0.0,0.0
161,SST,2,0.0,0.807,0.193,0.181
162,SLI,2,0.095,0.905,0.0,-0.211
163,TMUS,2,0.0,0.695,0.305,0.45
164,TXMD,2,0.188,0.403,0.409,0.306
165,SAFE,2,0.0,0.653,0.347,0.671
166,RCL,2,0.0,1.0,0.0,0.0
167,PK,2,0.0,1.0,0.0,0.0
168,CRDO,2,0.0,1.0,0.0,0.0
169,RBLX,2,0.0,0.584,0.416,0.359
170,DIS,2,0.228,0.545,0.228,0.0
171,KE,2,0.248,0.616,0.136,-0.499
172,GAME,2,0.028,0.585,0.388,0.612
173,ARE,2,0.258,0.539,0.203,-0.114
174,ED,2,0.308,0.692,0.0,-0.376
175,NOVN,2,0.0,0.599,0.401,0.718
176,SENS,2,0.0,0.688,0.312,0.359
177,SAVE,2,0.0,0.238,0.762,0.494
178,EXPR,2,0.0,1.0,0.0,0.0
179,FA,2,0.0,0.797,0.203,0.379
180,ES,2,0.0,1.0,0.0,0.0
181,TIL,2,0.0,0.709,0.291,0.318
182,SPG,2,0.0,1.0,0.0,0.0
183,CGRN,2,0.0,0.617,0.383,0.679
184,AG,2,0.194,0.452,0.355,0.361
185,DE,2,0.194,0.452,0.355,0.361
186,ME,1,0.0,0.859,0.141,0.202
187,LEN,1,0.0,0.2,0.8,0.612
188,SLDP,1,0.0,0.758,0.242,0.153
189,EXLA,1,0.0,0.507,0.493,0.7
190,LCID,1,0.0,1.0,0.0,0.0
191,HR,1,0.075,0.519,0.406,0.84
192,CSCW,1,0.06,0.794,0.146,0.484
193,SEE,1,0.457,0.543,0.0,-0.723
194,CIOXY,1,0.0,1.0,0.0,0.0
195,FGI,1,0.032,0.839,0.129,0.617
196,GLPG,1,0.0,1.0,0.0,0.0
197,VOD,1,0.109,0.745,0.146,0.451
198,AUS,1,0.109,0.745,0.146,0.451
199,UGA,1,0.0,1.0,0.0,0.0
200,SLBG,1,0.0,0.444,0.556,0.361
201,ONE,1,0.0,1.0,0.0,0.0
202,VC,1,0.0,0.872,0.128,0.296
203,CTXS,1,0.0,0.872,0.128,0.296
204,EDU,1,0.0,0.781,0.219,0.86
205,GTOR,1,0.0,1.0,0.0,0.0
206,GRBK,1,0.0,0.538,0.462,0.511
207,ALGN,1,0.2,0.8,0.0,-0.459
208,SLV,1,0.6,0.4,0.0,-0.459
209,SA,1,0.0,0.554,0.446,0.617
210,NCLH,1,0.0,0.588,0.412,0.273
211,AA,1,0.0,0.784,0.216,0.511
212,CET,1,0.0,1.0,0.0,0.0
213,BOIL,1,0.0,0.923,0.077,0.361
214,XCUR,1,0.0,0.291,0.709,0.922
215,CARA,1,0.0,0.56,0.44,0.67
216,SRNE,1,0.0,1.0,0.0,0.0
217,INSE,1,0.0,0.4,0.6,0.718
218,BEEM,1,0.0,1.0,0.0,0.0
219,APPH,1,0.0,1.0,0.0,0.0
220,RNA,1,0.625,0.375,0.0,-0.718
221,DIBS,1,0.319,0.486,0.194,-0.202
222,ARVL,1,0.0,0.545,0.455,0.361
223,CZOO,1,0.0,1.0,0.0,0.0
224,WHEN,1,0.398,0.435,0.167,-0.947
225,FUND,1,0.398,0.435,0.167,-0.947
226,RICH,1,0.398,0.435,0.167,-0.947
227,MSM,1,0.398,0.435,0.167,-0.947
228,RY,1,0.398,0.435,0.167,-0.947
229,RKLB,1,0.0,1.0,0.0,0.0
230,FORM,1,0.0,1.0,0.0,0.0
231,LUV,1,0.0,1.0,0.0,0.0
232,ABML,1,0.0,1.0,0.0,0.0
233,REAL,1,0.0,0.797,0.203,0.421
234,GREE,1,0.0,0.682,0.318,0.42
235,VINE,1,0.0,1.0,0.0,0.0
236,AGFY,1,0.447,0.263,0.289,-0.296
237,ANPC,1,0.0,0.367,0.633,0.784
238,TG,1,0.0,1.0,0.0,0.0
239,KOD,1,0.201,0.532,0.267,0.359
240,MA,1,0.201,0.532,0.267,0.359
241,PEP,1,0.201,0.532,0.267,0.359
242,UI,1,0.0,0.543,0.457,0.637
243,FDS,1,0.0,1.0,0.0,0.0
244,FUN,1,0.0,1.0,0.0,0.0
245,PRCH,1,0.0,0.806,0.194,0.34
246,KBH,1,0.474,0.526,0.0,-0.202
247,OCGN,1,0.0,1.0,0.0,0.0
248,XM,1,0.3,0.7,0.0,-0.459
249,CORZ,1,0.297,0.405,0.297,0.0
250,HIMX,1,0.0,1.0,0.0,0.0
251,NXPI,1,0.079,0.921,0.0,-0.226
252,HAS,1,0.0,0.826,0.174,0.226
253,RS,1,0.0,1.0,0.0,0.0
254,NGL,1,0.0,1.0,0.0,0.0
255,BROS,1,0.6,0.4,0.0,-0.459
256,MSTR,1,0.714,0.286,0.0,-0.718
257,TLRY,1,0.0,0.667,0.333,0.361
258,RIDE,1,0.0,1.0,0.0,0.0
259,INTC,1,0.0,0.543,0.457,0.637
260,ZNGA,1,0.0,1.0,0.0,0.0
261,AEVA,1,0.0,1.0,0.0,0.0
262,SONY,1,0.0,0.46,0.54,0.783
263,VCNX,1,0.0,0.442,0.558,0.808
264,IRL,1,0.0,1.0,0.0,0.0
265,MRO,1,0.0,1.0,0.0,0.0
266,SU,1,0.0,1.0,0.0,0.0
267,IMMR,1,0.081,0.676,0.243,0.759
