,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
170,AG,2,0.194,0.452,0.355,0.361
171,DE,2,0.194,0.452,0.355,0.361
172,VS,2,0.000,0.678,0.322,0.401
173,RIVN,2,0.206,0.793,0.000,-0.138
174,BIRD,2,0.000,1.000,0.000,0.000
175,UAA,2,0.000,0.837,0.163,0.220
176,RELI,2,0.000,0.555,0.445,0.493
177,ULCC,2,0.000,0.608,0.392,0.318
178,APPS,2,0.073,0.719,0.207,0.102
179,CRNC,2,0.000,0.836,0.164,0.374
180,BCHG,2,0.000,0.828,0.172,0.681
181,PJT,2,0.000,0.167,0.833,0.718
182,CVS,2,0.193,0.338,0.471,0.450
183,USA,2,0.048,0.705,0.247,0.642
184,NU,2,0.000,0.810,0.190,0.284
185,FSRD,2,0.000,0.621,0.379,0.840
186,RKT,2,0.172,0.677,0.150,-0.064
187,SST,2,0.000,0.800,0.200,0.459
188,CMPS,2,0.401,0.599,0.000,-0.718
189,INTC,2,0.000,1.000,0.000,0.000
190,BJDX,2,0.115,0.740,0.146,0.084
191,SE,2,0.000,1.000,0.000,0.000
192,MARK,2,0.000,0.740,0.260,0.947
193,STEM,2,0.000,0.584,0.416,0.476
194,XELA,2,0.000,0.734,0.266,0.663
195,QS,2,0.000,0.734,0.266,0.663
196,CORT,2,0.000,0.734,0.266,0.663
197,RMO,2,0.000,0.734,0.266,0.663
198,JAN,2,0.082,0.672,0.246,0.414
199,CCL,2,0.000,0.510,0.490,0.579
200,RC,2,0.000,1.000,0.000,0.000
201,BOXD,2,0.393,0.409,0.198,-0.394
202,CROX,2,0.232,0.715,0.053,-0.925
203,PLUG,2,0.000,0.925,0.074,0.211
204,BJ,2,0.000,0.570,0.430,0.861
205,LMAO,2,0.137,0.547,0.317,0.562
206,SB,2,0.137,0.547,0.317,0.562
207,VVV,2,0.000,1.000,0.000,0.000
208,BBBY,2,0.000,0.764,0.236,0.374
209,PIK,2,0.194,0.620,0.186,0.028
210,ATER,2,0.000,0.778,0.222,0.246
211,PT,2,0.000,0.787,0.212,0.406
212,ECOL,2,0.000,1.000,0.000,0.000
213,HOFV,2,0.000,0.722,0.278,0.359
214,CBD,2,0.256,0.744,0.000,-0.247
215,GO,2,0.000,0.879,0.120,0.312
216,RSI,2,0.000,0.853,0.147,0.749
217,PETZ,2,0.000,0.853,0.147,0.749
218,SFT,2,0.000,1.000,0.000,0.000
219,CC,2,0.287,0.525,0.188,0.028
220,BENEW,2,0.000,1.000,0.000,0.000
221,RMTI,2,0.000,0.750,0.250,0.359
222,BOOM,2,0.000,1.000,0.000,0.000
223,COIN,1,0.241,0.759,0.000,-0.542
224,TY,1,0.000,1.000,0.000,0.000
225,CBOE,1,0.000,1.000,0.000,0.000
226,GOOD,1,0.000,0.346,0.654,0.583
227,CE,1,0.000,1.000,0.000,0.000
228,PBF,1,0.000,1.000,0.000,0.000
229,KEYS,1,0.000,1.000,0.000,0.000
230,TSE,1,0.000,0.794,0.206,0.599
231,CIA,1,0.000,0.794,0.206,0.599
232,TH,1,0.000,0.612,0.388,0.663
233,NAT,1,0.000,1.000,0.000,0.000
234,MTCH,1,0.000,1.000,0.000,0.000
235,KE,1,0.232,0.670,0.098,-0.611
236,WTI,1,0.427,0.573,0.000,-0.303
237,AMKR,1,0.000,1.000,0.000,0.000
238,OSK,1,0.375,0.625,0.000,-0.557
239,CSII,1,0.300,0.700,0.000,-0.594
240,TLSA,1,0.000,1.000,0.000,0.000
241,TSM,1,0.184,0.441,0.376,0.560
242,EXP,1,0.349,0.229,0.423,0.318
243,OC,1,0.180,0.820,0.000,-0.296
244,TMUS,1,0.000,1.000,0.000,0.000
245,TXMD,1,0.000,0.556,0.444,0.611
246,GPRO,1,0.000,1.000,0.000,0.000
247,SBLK,1,0.000,0.712,0.288,0.428
248,HYPR,1,0.000,0.588,0.412,0.421
249,TTWO,1,0.000,0.476,0.524,0.296
250,HYZN,1,0.000,1.000,0.000,0.000
251,GF,1,0.209,0.605,0.185,-0.172
252,XRX,1,0.549,0.451,0.000,-0.899
253,PHUN,1,0.000,1.000,0.000,0.000
254,IRS,1,0.176,0.704,0.121,-0.273
255,DISCA,1,0.000,1.000,0.000,0.000
256,AU,1,0.066,0.866,0.069,0.026
257,PERI,1,0.000,0.745,0.255,0.340
258,IO,1,0.234,0.398,0.368,0.399
259,GAN,1,0.277,0.723,0.000,-0.318
260,OUT,1,0.000,1.000,0.000,0.000
261,MRNA,1,0.000,1.000,0.000,0.000
262,ABNB,1,0.000,1.000,0.000,0.000
263,DTE,1,0.000,0.831,0.169,0.258
264,NE,1,0.000,0.556,0.444,0.886
265,LOVE,1,0.000,0.556,0.444,0.886
266,SELF,1,0.000,0.556,0.444,0.886
267,DAL,1,0.000,0.556,0.444,0.886
268,GAME,1,0.000,0.357,0.643,0.802
269,SKT,1,0.000,1.000,0.000,0.000
270,AM,1,0.213,0.787,0.000,-0.402
271,GOOS,1,0.000,1.000,0.000,0.000
272,LODE,1,0.000,0.531,0.469,0.742
273,TRT,1,0.000,1.000,0.000,0.000
274,DRS,1,0.000,1.000,0.000,0.000
275,NVTS,1,0.000,1.000,0.000,0.000
276,CENN,1,0.000,0.599,0.401,0.748
277,TSN,1,0.000,0.533,0.467,0.791
278,CLBT,1,0.000,1.000,0.000,0.000
279,UL,1,0.156,0.670,0.174,0.060
280,TSRI,1,0.000,1.000,0.000,0.000
281,FSLR,1,0.168,0.832,0.000,-0.387
282,OSH,1,0.168,0.832,0.000,-0.387
283,HI,1,0.049,0.778,0.173,0.679
284,FOX,1,0.102,0.855,0.043,-0.494
285,CFVIW,1,0.102,0.855,0.043,-0.494
286,MD,1,0.000,1.000,0.000,0.000
287,PHUNW,1,0.000,0.375,0.625,0.718
288,RICH,1,0.366,0.437,0.197,-0.475
289,LKCO,1,0.000,1.000,0.000,0.000
290,RMBL,1,0.000,0.526,0.474,0.402
291,HL,1,0.000,1.000,0.000,0.000
292,LEAP,1,0.000,0.375,0.625,0.718
293,MARA,1,0.000,1.000,0.000,0.000
294,ACLS,1,0.000,1.000,0.000,0.000
295,SPPI,1,0.000,1.000,0.000,0.000
296,NVAX,1,0.000,0.362,0.638,0.742
297,WEBR,1,0.000,1.000,0.000,0.000
298,MC,1,0.000,1.000,0.000,0.000
299,HCMC,1,0.000,1.000,0.000,0.000
300,GOEV,1,0.000,0.853,0.147,0.414
301,WKHS,1,0.000,0.853,0.147,0.414
302,HOG,1,0.000,0.688,0.312,0.718
303,FMG,1,0.000,0.688,0.312,0.612
304,HEXO,1,0.224,0.528,0.249,0.248
305,BB,1,0.000,1.000,0.000,0.000
306,WEAT,1,0.111,0.769,0.120,0.052
307,BK,1,0.000,1.000,0.000,0.000
308,BTCM,1,0.000,1.000,0.000,0.000
