,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
322,LXRX,1,0.0,0.798,0.202,0.368
323,JP,1,0.0,0.798,0.202,0.368
324,HIMS,1,0.0,0.829,0.171,0.511
325,TEVA,1,0.0,1.0,0.0,0.0
326,PRO,1,0.0,0.661,0.339,0.474
327,MA,1,0.0,1.0,0.0,0.0
328,LMND,1,0.3,0.7,0.0,-0.459
329,IINN,1,0.0,1.0,0.0,0.0
330,KE,1,0.0,1.0,0.0,0.0
331,LZ,1,0.0,1.0,0.0,0.0
332,SENS,1,0.0,1.0,0.0,0.0
333,TMC,1,0.13,0.74,0.13,0.0
334,KOD,1,0.0,0.476,0.524,0.511
335,DYAI,1,0.0,0.715,0.285,0.338
336,VGR,1,0.0,0.704,0.296,0.273
337,NN,1,0.0,1.0,0.0,0.0
338,MLCO,1,0.0,0.588,0.412,0.421
339,FATH,1,0.0,1.0,0.0,0.0
340,PL,1,0.0,1.0,0.0,0.0
341,IFRX,1,0.0,1.0,0.0,0.0
342,LD,1,0.0,1.0,0.0,0.0
343,EQS,1,0.242,0.758,0.0,-0.494
344,SUM,1,0.0,1.0,0.0,0.0
345,SHIP,1,0.088,0.912,0.0,-0.382
346,VLDR,1,0.0,1.0,0.0,0.0
347,WEBR,1,0.166,0.551,0.283,0.36
348,JOB,1,0.0,0.588,0.412,0.637
349,SYTA,1,0.0,1.0,0.0,0.0
350,WOOF,1,0.0,1.0,0.0,0.0
351,MOST,1,0.0,1.0,0.0,0.0
352,GS,1,0.371,0.508,0.12,-0.786
353,ONE,1,0.371,0.508,0.12,-0.786
354,QDEL,1,0.0,1.0,0.0,0.0
355,VIR,1,0.0,0.556,0.444,0.34
356,CLF,1,0.0,0.411,0.589,0.774
357,PTN,1,0.0,0.5,0.5,0.718
358,SOPA,1,0.267,0.489,0.244,-0.178
359,EGY,1,0.271,0.729,0.0,-0.303
360,AEVA,1,0.0,0.375,0.625,0.718
361,TNT,1,0.0,0.833,0.167,0.459
362,ESS,1,0.0,0.263,0.737,0.421
363,PSLV,1,0.051,0.832,0.117,0.433
364,SIGN,1,0.0,1.0,0.0,0.0
365,DKS,1,0.0,0.556,0.444,0.611
366,TV,1,0.0,0.787,0.213,0.402
367,GL,1,0.451,0.41,0.138,-0.782
368,HEAR,1,0.0,0.579,0.421,0.291
369,PHD,1,0.0,0.937,0.063,0.44
370,PTPI,1,0.0,1.0,0.0,0.0
371,HUDI,1,0.0,1.0,0.0,0.0
372,SBET,1,0.0,1.0,0.0,0.0
373,SEE,1,0.163,0.706,0.13,-0.202
374,CTS,1,0.117,0.517,0.366,0.74
375,LOVE,1,0.0,0.417,0.583,0.637
376,XP,1,0.0,0.791,0.209,0.44
377,EL,1,0.0,1.0,0.0,0.0
378,AR,1,0.0,1.0,0.0,0.0
379,NE,1,0.0,1.0,0.0,0.0
380,CC,1,0.0,1.0,0.0,0.0
381,DS,1,0.0,1.0,0.0,0.0
382,GE,1,0.0,1.0,0.0,0.0
383,GRTX,1,0.0,1.0,0.0,0.0
384,USX,1,0.0,0.722,0.278,0.718
385,ATER,1,0.0,0.596,0.404,0.869
386,DT,1,0.0,0.59,0.41,0.867
387,EARN,1,0.0,0.655,0.345,0.577
388,TTP,1,0.167,0.833,0.0,-0.153
389,CB,1,0.0,0.795,0.205,0.202
390,ORC,1,0.0,1.0,0.0,0.0
391,NU,1,0.0,1.0,0.0,0.0
392,VXRT,1,0.0,1.0,0.0,0.0
393,BEKE,1,0.0,1.0,0.0,0.0
394,IMO,1,0.0,0.665,0.335,0.861
395,CX,1,0.0,0.626,0.374,0.556
396,RKLB,1,0.095,0.905,0.0,-0.224
397,FLOW,1,0.0,1.0,0.0,0.0
398,ZNOG,1,0.237,0.556,0.206,-0.213
399,GNPX,1,0.237,0.556,0.206,-0.213
400,HEPA,1,0.237,0.556,0.206,-0.213
