,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
130,GTE,2,0.157,0.843,0.0,-0.309
131,PSFE,2,0.117,0.793,0.09,-0.064
132,AP,2,0.037,0.897,0.065,0.275
133,RELI,2,0.0,1.0,0.0,0.0
134,VALE,2,0.0,0.856,0.144,0.413
135,RKDA,2,0.0,0.753,0.247,0.645
136,VGFC,2,0.0,0.632,0.368,0.718
137,DASH,2,0.203,0.797,0.0,-0.238
138,TV,2,0.089,0.76,0.151,0.084
139,NEGG,2,0.0,1.0,0.0,0.0
140,AR,2,0.0,0.853,0.147,0.359
141,UUUU,2,0.1,0.783,0.117,0.064
142,CELH,2,0.0,1.0,0.0,0.0
143,SDC,2,0.0,0.685,0.315,0.312
144,BLNK,2,0.19,0.535,0.275,0.261
145,LLY,2,0.101,0.899,0.0,-0.255
146,OI,2,0.034,0.88,0.086,0.386
147,OCC,2,0.0,0.633,0.367,0.486
148,OP,2,0.0,0.91,0.09,0.385
149,BLND,2,0.0,1.0,0.0,0.0
150,FRSX,2,0.043,0.824,0.134,0.371
151,SHIP,2,0.0,0.75,0.251,0.396
152,WKHS,2,0.083,0.745,0.172,0.178
153,HOUR,2,0.144,0.667,0.189,0.071
154,ONS,2,0.281,0.538,0.179,-0.47
155,NIO,2,0.0,0.647,0.354,0.612
156,MNMD,2,0.0,0.784,0.216,0.467
157,SQ,2,0.131,0.869,0.0,-0.247
158,PSLV,2,0.0,0.853,0.147,0.181
159,SBEV,2,0.159,0.655,0.187,-0.084
160,PFE,2,0.086,0.823,0.092,-0.095
161,EA,2,0.357,0.643,0.0,-0.359
162,NEXT,2,0.199,0.801,0.0,-0.664
163,WW,2,0.117,0.822,0.062,-0.148
164,RMO,2,0.0,1.0,0.0,0.0
165,POW,2,0.222,0.695,0.084,-0.416
166,FOUR,2,0.22,0.739,0.042,-0.348
167,NSAV,2,0.0,0.887,0.113,0.283
168,RIG,2,0.073,0.73,0.198,0.35
169,CHI,2,0.139,0.769,0.092,-0.272
170,EBET,2,0.123,0.877,0.0,-0.159
171,VIAC,2,0.262,0.738,0.0,-0.255
172,OSCR,2,0.0,0.81,0.19,0.54
173,PDT,2,0.252,0.699,0.05,-0.668
174,LIFE,2,0.0,1.0,0.0,0.0
175,SBLK,2,0.0,0.323,0.677,0.273
176,UWMC,2,0.0,0.853,0.147,0.181
177,PYPL,2,0.124,0.655,0.222,0.219
178,UVXY,2,0.0,0.727,0.273,0.469
179,CG,2,0.106,0.754,0.14,0.174
180,CMC,2,0.106,0.754,0.14,0.174
181,FSR,2,0.0,1.0,0.0,0.0
182,XL,2,0.167,0.477,0.356,0.196
183,ASX,2,0.642,0.358,0.0,-0.736
184,IEX,2,0.02,0.482,0.498,0.835
185,ES,2,0.082,0.806,0.112,0.137
186,HE,2,0.0,0.758,0.242,0.384
187,TASK,2,0.161,0.453,0.386,0.059
188,EB,2,0.0,1.0,0.0,0.0
189,ASAN,2,0.08,0.772,0.149,0.352
190,FANG,2,0.0,0.649,0.351,0.489
191,RICH,2,0.0,0.455,0.545,0.557
